# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\castlevaniaEdit.png	116	116	116
35	textures\Simon.png	116	116	116
38	textures\SimonR.png	3	25	110
20	textures\brick.png	176	224	248
10	textures\enemies.png	3	26	110
3	textures\fire.png	255	255	255
36	textures\scene1.png	125	134	200
34	textures\BrickLeft.png	255	255	255
33	textures\Space.png	255	255	255
37	textures\heart.png	255	255	255
39	textures\money.png	255	255	255
40	textures\SimonAttack.png	255	255	255
41	textures\SimonAttackR.png	255	255	255



# id	left	top	right	bottom	texture_id
[SPRITES]
#BackGround ======
70001	0	0	45	48	36
70002	45	0	90	48	36
70003	90	0	135	48	36
70004	135	0	180	48	36
70005	180	0	225	48	36
70006	225	0	270	48	36
70007	270	0	315	48	36
70008	315	0	360	48	36
70009	360	0	405	48	36
70010	405	0	450	48	36
#70011 70012 70013 == 70010
70014	450	0	495	48	36
70015	495	0	540	48	36
70016	540	0	585	48	36
70017	585	0	630	48	36
#hang 2
70018	630	0	675	48	36
70019	675	0	720	48	36
70020	720	0	765	48	36
70021	765	0	810	48	36
70022	810	0	855	48	36
70023	855	0	900	48	36
70024	900	0	945	48	36
70025	945	0	990	48	36
70026	0	48	45	96	36
70027	45	48	90	96	36
70028	90	48	135	96	36
70029	135	48	180	96	36
70030	180	48	225	96	36
70031	225	48	270	96	36
70032	270	48	315	96	36
70033	315	48	360	96	36
70034	360	48	405	96	36
#hang 3
70035	405	48	450	96	36
70036	450	48	495	96	36
70037	495	48	540	96	36
70038	540	48	585	96	36
70039	585	48	630	96	36
70040	630	48	675	96	36
70041	675	48	720	96	36
70042	720	48	765	96	36
70043	765	48	810	96	36
70044	810	48	855	96	36
70045	855	48	900	96	36
70046	900	48	945	96	36
70047	945	48	990	96	36
70048	0	96	45	144	36
70049	45	96	90	144	36
70050	90	96	135	144	36
70051	135	96	180	144	36
#hang 4
70052	180	96	225	144	36
70053	225	96	270	144	36
70054	270	96	315	144	36
70055	315	96	360	144	36
70056	360	96	405	144	36
70057	405	96	450	144	36
70058	450	96	495	144	36
70059	495	96	540	144	36
70060	540	96	585	144	36
70061	585	96	630	144	36
70062	630	96	675	144	36
70063	675	96	720	144	36
70064	720	96	765	144	36
70065	765	96	810	144	36
70066	810	96	855	144	36
70067	855	96	900	144	36
70068	900	96	945	144	36

# ==== SIMON ====
# idle right
10001	164	41	180	71	0
# walk right
10002	206	40	218	71	0
10003	244	41	259	71	0
# idle left
10011	124	41	140	71	0
# walk left
